Date,Open,High,Low,Close,Adj Close,Volume
03-08-2006,46.512001,46.679001,46.334999,46.400002,46.400002,0
10-08-2006,46.393002,46.544998,46.255001,46.467999,46.467999,0
17-08-2006,46.48,46.506001,46.279999,46.391998,46.391998,0
24-08-2006,46.400002,46.529999,46.283001,46.287998,46.287998,0
31-08-2006,46.299999,46.491001,46.005001,46.049,46.049,0
07-09-2006,46.060001,46.278999,45.985001,46.004002,46.004002,0
14-09-2006,46.014999,46.095001,45.884998,46.030998,46.030998,0
21-09-2006,46.040001,46.040001,45.705002,45.831001,45.831001,0
28-09-2006,45.84,45.900002,45.575001,45.632,45.632,0
05-10-2006,45.639999,45.733002,45.355,45.551998,45.551998,0
12-10-2006,45.560001,45.560001,45.124001,45.210999,45.210999,0
19-10-2006,45.220001,45.355,45.125,45.290001,45.290001,0
26-10-2006,45.299999,45.301998,44.701,44.712002,44.712002,0
02-11-2006,44.720001,44.880001,44.544998,44.613998,44.613998,0
09-11-2006,44.619999,45.279999,44.395,45.193001,45.193001,0
16-11-2006,45.200001,45.200001,44.555,44.574001,44.574001,0
23-11-2006,44.900002,44.900002,44.474998,44.613998,44.613998,0
30-11-2006,44.474998,44.759998,44.355,44.615002,44.615002,0
07-12-2006,44.619999,44.919998,44.455002,44.734001,44.734001,0
14-12-2006,44.740002,44.869999,44.466999,44.673,44.673,0
21-12-2006,44.68,44.740002,44.134998,44.259998,44.259998,0
28-12-2006,44.25,44.41,44.040001,44.111,44.111,0
04-01-2007,44.119999,44.549999,44.095001,44.375,44.375,0
11-01-2007,44.419998,44.619999,44.025002,44.025002,44.025002,0
18-01-2007,44.200001,44.3475,44.044998,44.084999,44.084999,0
25-01-2007,44.084999,44.327499,43.965,44.005001,44.005001,0
01-02-2007,44,44.145,43.919998,44.014,44.014,0
08-02-2007,43.950001,44.205002,43.117001,43.874001,43.874001,0
15-02-2007,43.876999,44.2075,43.805,44.077999,44.077999,0
22-02-2007,43.935001,44.345001,43.935001,44.015999,44.015999,0
01-03-2007,44.02,44.650002,44.007,44.435001,44.435001,0
08-03-2007,44.439999,44.547501,43.855,44.231998,44.231998,0
15-03-2007,44.240002,44.240002,43.215,43.442001,43.442001,0
22-03-2007,43.450001,43.705002,42.75,43.09,43.09,0
29-03-2007,43.089001,43.735001,42.709999,42.807999,42.807999,0
05-04-2007,42.82,43.18,42.585999,42.612999,42.612999,0
12-04-2007,42.619999,42.907501,41.587002,41.834999,41.834999,0
19-04-2007,41.84,42.185001,40.599998,40.854,40.854,0
26-04-2007,40.514999,41.43,40.485001,40.976002,40.976002,0
03-05-2007,40.98,41.240002,40.5,40.613998,40.613998,0
10-05-2007,40.619999,41.415001,40.525002,40.757999,40.757999,0
17-05-2007,40.759998,40.91,40.075001,40.490002,40.490002,0
24-05-2007,40.5,40.810001,40.125,40.528999,40.528999,0
